question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
Meta (META) Up or Down on November 19?,Up,Down,0.1,20,10,10,10,10,8.4,1.19,50,0,6.82,4.82,3.95,2.8,2.8,2.8,0.45,0.55,0.5,3.5,0.01,FALSE,meta-up-or-down-on-november-19-2025,25421962999670474485189085840313115319671991868905247134412994309663503326316,4757960349554676975335086515009397803826197145878812694629827056642416966808,0xbb1d7f20bed7673edc8b966cf8ae96e664d885edec152810340e49aa46f561dc
NYA (NYA) Up or Down on November 19?,Up,Down,0.98,20,10,10,10,10,8.37,1.19,50,0,0,0,2.77,2.79,2.79,2.79,0.01,0.99,0.5,3.5,0.01,FALSE,nya-up-or-down-on-november-19-2025,52626334933422171893278327259208189923772984158741055362658612319681560771665,108341252520038295694822431734965884671321592882393839418672246752369580416356,0xbd98ac8b4ffe69728f0dadd61a1092b8600845ec011af5ea250747aa4beaff6f
Ranger FDV above $30M one day after launch?,Yes,No,0.71,20,10,10,10,10,16.26,0.62,50,5.76,4.38,5.74,5.49,5.42,5.42,5.42,0.15,0.86,0.5,3.5,0.01,FALSE,ranger-fdv-above-30m-one-day-after-launch,70775810552688403539056030064328753707542651818571270274848999164624669623126,22030728982785804603124006216456917031688283306757891406679430179158647703558,0x32c8b5338ceee5c4b600c2de3764856678a05cbbd60341b55f854dc11d7be2c6
Will Infrared launch a token by December 31 2026?,Yes,No,0.65,20,10,10,10,10,15.51,0.64,50,0,6.08,5.4,5.27,5.17,5.17,5.17,0.25,0.9,0.57,3.5,0.01,FALSE,will-infrared-launch-a-token-by-december-31-2026,98510210317510658592567508424772704357893805348181826398143652197934973786471,8888432334678117753156057410488752892309484217325817814069453292369476675078,0x1d6886a554874ec350682f3ef968d8776942ad5bf37b5f0d53c12498a68c6926
Will Meta (META) finish week of November 17 above $600?,Yes,No,0.04,20,5.34,5.34,5.35,5.34,16.65,0.32,20,4.79,2.91,3.64,3.35,5.55,5.55,5.55,0.45,0.49,0.47,4.5,0.01,FALSE,meta-above-600-on-november-21-2025,4506423704720129533762334435472929204024634961714598865859279509071666266938,45408247794033894044886363034599133977549687920911001308441748476276685749063,0x64ca5ceee3ddd925c159013f4778c62c93dd5ffbadc87ede4c2cfeff639430a6
Will Palantir (PLTR) finish week of November 17 above $168?,Yes,No,0.03,20,5.3,5.3,5.19,5.42,19.92,0.27,20,9.29,6.2,5.03,4.42,6.64,6.64,6.64,0.49,0.52,0.5,4.5,0.01,FALSE,pltr-above-168-on-november-21-2025,10082243570853307742813067381943975246185102781295514525507038502539734324612,48590113940961171434794508417067717229344532008912862880064276610992231285394,0x23bff4e4f7b6f5ebd898bc3c027e8d27e0b4d39e2236302620f6cb4d806731d9
Will Tesla (TSLA) finish week of November 17 above $400?,Yes,No,0.04,20,5.14,5.14,4.89,5.4,12.18,0.42,20,7.92,4.64,3.3,3.89,4.06,4.06,4.06,0.51,0.55,0.53,4.5,0.01,FALSE,tsla-above-400-on-november-21-2025,82219895768433278022933803601462213157425874994902620673665003709177573030904,29321026276391427635368864708632405773732840703590057404971330600541928832514,0xf51811f52b5c4a842999f39f25fd7c949ff1176586291db91529180be1dd1952
Will Airbnb (ABNB) finish week of November 17 above $115?,Yes,No,0.03,20,5.07,5.08,4.87,5.28,11.82,0.43,20,0,2.68,2.71,3.95,3.94,3.94,3.94,0.51,0.54,0.52,4.5,0.01,FALSE,abnb-above-115-on-november-21-2025,22356177377087183608420380141775743794586930144013022186969721833825974289824,31095427712778061644054860569867594169713565127100245439461006430326048106048,0x98cffc049686f0a8690547fb3bf880c609efc06a2a586861e560aa3470f91d3c
Netflix (NFLX) Up or Down on November 19?,Up,Down,0.04,20,5,5,5.27,4.74,4.23,1.18,50,0,3.98,2.81,1.99,1.41,1.41,1.41,0.48,0.52,0.5,3.5,0.01,FALSE,nflx-up-or-down-on-november-19-2025,21189719380285943913011590691724673164511890637354199192283862223030581679290,26130983700070655652510554760085928812025381858333132986336862376731393669146,0x6077258296cc47a43ba9d7878c14ccb270cb9bd064fa91015fe5f221846754d3
Airbnb (ABNB) Up or Down on November 19?,Up,Down,0.02,20,4.58,4.58,4.61,4.55,0,inf,50,0,0,0,0,0,0,0,0.49,0.51,0.5,3.5,0.01,FALSE,abnb-up-or-down-on-november-19-2025,50038876556128054191505809063373623492192770281898060738045628249179668206458,22383277599423321683484380205469938631096332697133704825514689722128380502359,0x78e7283c5e13647a91e0c1bf3a896d428329366284871875de7e514c11c190bc
Will Amazon (AMZN) finish week of November 17 above $220?,Yes,No,0.02,20,4.37,4.38,4,4.77,16.41,0.27,20,0,0,2.39,5.54,5.47,5.47,5.47,0.59,0.61,0.6,4.5,0.01,FALSE,amzn-above-220-on-november-21-2025,55767914260935031975506849988443402374244075182658507352166073490871285204844,1131387440739823775372578940523610920963238865214321842125563122485232013141,0xc390e367bbc89eecb053c58be1a81a7886b7ae8dfd3a85c08feb51142a4e53ea
Will Arc launch a token by March 31 2026?,Yes,No,0.02,20,4.07,4.12,4.8,3.45,19.17,0.21,20,0,5.65,7.91,6.37,6.39,6.39,6.39,0.58,0.6,0.59,3.5,0.01,FALSE,will-arc-launch-a-token-by-march-31-2026,77298441793537419095063590680285072556966150477405260335909963252373072837378,83369338467709266344613424238589459019538622789461897525909669361023081506978,0xb7b2f1550f33f546305dddefb5c79c605fb51fda341df667e58d867b64b2cbbb
Will Amazon (AMZN) finish week of November 17 above $225?,Yes,No,0.01,20,3.27,3.36,4.14,2.58,10.17,0.32,20,0,0,0,0,3.39,3.39,3.39,0.45,0.46,0.46,4.5,0.01,FALSE,amzn-above-225-on-november-21-2025,66284623826682185577885854655161973678250669576812764577639393590052269617973,42465487934506779694526832092408260393808760230466066603300729380245465602164,0x5cf1d5e7c799398046f6fce61327f9dd563ec82922924cf50aa44d8f991a10c3
Will Rocket Lab (RKLB) finish week of November 17 above $43?,Yes,No,0.01,20,3.02,3.04,2.63,3.46,4.98,0.61,20,0,0,0,0,1.66,1.66,1.66,0.47,0.48,0.48,4.5,0.01,FALSE,rklb-above-43-on-november-21-2025,29565044543009916464246705830438808911732317646939692973847313545280530796593,13533546674689679879116543402599966465267514684630566280636445386227194045630,0x42f70e32a58c0b69f1c604f5bed9962f32ce3b763b7856f9eccbe5603bcd1dec
"Will Trump say ""China"" 3+ times during Saudi Investment Forum on November 19?",Yes,No,0.02,10,2.62,2.62,2.55,2.69,19.36,0.14,20,4.45,11.5,8.77,6.89,5.18,7.09,7.09,0.66,0.68,0.67,4.5,0.01,FALSE,will-trump-say-china-3-times-during-saudi-investment-forum-on-november-19,48322379780263184996037041733763957128557370808839524070420012413508807829997,52327254115149708812542235528420106401617211462350823119875664923973809013363,0xaf9f9041672ce649f30e2f399a70d76131042784d05ef12e209cfef43a00dd61
"Will NVIDIA say ""Self Driving"" during earnings call?",Yes,No,0.09,5,2.5,2.5,2.5,2.5,9.66,0.26,20,0,0,2.34,2.42,4.16,2.71,2.79,0.55,0.64,0.6,4.5,0.01,FALSE,earnings-mentions-nvidia-2025-11-19-self-driving-1-times,70214772967685428108504505423309958693444342599132459175468363090856598068055,9045597416601438844283227444450614965484109172885168437917010142407386417044,0xb708582c77b5c00b9f8bfab5150d96970b1f8b1a7c9ac6786e5042a3db1510e0
"Will NVIDIA say ""Trump"" during earnings call?",Yes,No,0.09,5,2.5,2.5,2.5,2.5,19.78,0.13,20,12.02,8.15,7.38,5.54,4.41,6.21,9.16,0.36,0.45,0.38,4.5,0.01,FALSE,earnings-mentions-nvidia-2025-11-19-trump-1-times,12438307817986327003922082720761931300377318958188490606391406569698280327211,12762988745534289045358011749656892642280808047862219940397048406550611615086,0x481be78b2a303e296d873c4b4039751e93a093639cd4b4229034d504cb5844e6
"Will NVIDIA say ""H20"" during earnings call?",Yes,No,0.1,5,2.5,2.5,2.5,2.5,8.56,0.29,20,0,1.54,1.55,1.11,3.8,2.35,2.41,0.85,0.95,0.9,4.5,0.01,FALSE,earnings-mentions-nvidia-2025-11-19-h20-1-times,88721070802720389786863811064716910566275402700942530185842786448390448690227,101496704317923599799362244371714575706786220025923259595962155542370368116340,0x2d2e28031c0c84861ee4576628651c4cc1bd3f1db925c90aa4f50bae089bfd14
"Will NVIDIA say ""TSMC"" during earnings call?",Yes,No,0.08,5,2.5,2.5,2.5,2.5,9.17,0.27,20,0,0,3.01,2.58,3.12,2.98,3.07,0.7,0.78,0.74,4.5,0.01,FALSE,earnings-mentions-nvidia-2025-11-19-tsmc-1-times,75168459639584983913119782829039335588500408379959117465239499223771522201189,9458499937956428421521508002882568466084880055560368407552354161887595165090,0x1409156c75b08fd1d3e9313a9d55c421cb45ba1540dcc549e79eae020646a376
Will Best Buy (BBY) beat quarterly earnings?,Yes,No,0.07,5,2.14,2.14,2.25,2.03,12.92,0.17,50,10.84,6.58,4.72,3.36,2.38,1.65,8.89,0.82,0.89,0.86,4.5,0.01,FALSE,bby-quarterly-earnings-nongaap-eps-11-25-2025-1pt31,80166515042601357395199544453192434651664149833539404092970310405782436491819,85448258372724092093059844925006847147298677406726781700948379170356671529374,0xb95e125e51efa5ce18ef32627b1ea73975bf4fe6d6faccbcff631ca1c095b710
Will The Gap (GAP) beat quarterly earnings?,Yes,No,0.07,5,2.09,2.09,2.21,1.97,13.35,0.16,50,0,7.66,5.47,3.89,2.75,1.74,8.86,0.81,0.88,0.84,4.5,0.01,FALSE,gap-quarterly-earnings-gaap-eps-11-20-2025-0pt58,5766616905556843799720839445783318750511327781460518241532849925352657153970,97320253605301290191433930217388450471386167832294274907969260706407618089253,0x63075823f870341b0ce734a369e449a2c3f8a6f2dce2785ad6cd4c65f8a3b119
Will Donald Trump rank in Google’s Top 5 Most Searched People of 2025?,Yes,No,0.02,30,2.09,2.1,2.37,1.84,17.55,0.12,100,12.31,7.47,10.41,7.42,6.66,5.16,9.7,0.37,0.39,0.38,4.5,0.01,FALSE,will-donald-trump-rank-in-googles-top-5-most-searched-people-of-2025,104186797486634922882039659043251059270915778073356605448905656754606544725766,83280687295366923684863163111471047651668247655100947012947759809116119055989,0x6686687c7bc69e01f9f9b75bfbec3737c06463d074efd12919a4e7c131a1df50
Will Kohls (KSS) beat quarterly earnings?,Yes,No,0.06,5,1.92,1.92,1.93,1.92,14.35,0.13,50,16.64,10.3,7.67,5.45,3.96,2.46,7.93,0.74,0.8,0.77,4.5,0.01,FALSE,kss-quarterly-earnings-gaap-eps-11-25-2025-neg0pt21,95953203351465927587953281709194390642349158717647925910865004616030588545470,99890856201261122770648375107783519352532789951692035509254804901796020808557,0x3e30a3172bad31b90f0bab0a06d389a9aab01d0aeb9702e0215eddde33478685
Will Elon Musk change his X profile picture by December 31?,Yes,No,0.03,10,1.85,1.86,1.88,1.83,10.46,0.18,100,0,0,4.03,5.25,4.31,2.88,3.27,0.61,0.64,0.62,4.5,0.01,FALSE,will-elon-musk-change-his-x-profile-picture-by-december-31,16054007385547251679708249207359543687597026827756204913702303659266506654893,96338899689655975706774545408578817331667806044864530476978084714821639542486,0x562a2600522ffeee8640d11c9eeddf7a81e3f9c75d25becad98d2a28eb4fa62a
"Maduro out by March 31, 2026?",Yes,No,0.02,30,1.71,1.81,1.22,2.4,17.14,0.1,200,6.41,3.89,4.92,4.99,4.31,5.33,10.47,0.34,0.36,0.35,4.5,0.01,FALSE,maduro-out-by-march-31-2026,47380452228751713070322726097676074449505499789775322838989368264459427079864,51557640493959409967450715581364676138625317681860098426262565961674126617926,0x18d8c59309811ce5618ea941f9bde2a96afa5d876a69c42fba2da4bcc56d3c5e
Will Burlington Stores (BURL) beat quarterly earnings?,Yes,No,0.05,5,1.52,1.53,1.69,1.37,9.71,0.16,50,5.49,3.33,2.39,1.7,1.21,1.85,6.65,0.79,0.84,0.82,4.5,0.01,FALSE,burl-quarterly-earnings-gaap-eps-11-25-2025-1pt55,111385041876541024735423499614596573141082509716141826614560239287785761479633,23571405973473468507289670609492126655285435167010160134850762177087727632576,0x2bff131205f2e13d24e53fd1258e10bf0e1e41064f5dc25dd23f34f0797490e0
"Will NVIDIA say ""Omniverse"" during earnings call?",Yes,No,0.05,5,1.51,1.52,1.66,1.38,10.2,0.15,20,0,0,1.52,4.15,3.17,2.03,5,0.9,0.95,0.92,4.5,0.01,FALSE,earnings-mentions-nvidia-2025-11-19-omniverse-1-times,67440655478033250659734286343230001133195486858482123457096967658187426188849,42563597561623503736227794273894690820249113044161895666915736619896025310326,0xbc080837828c8cfbb1ea3a65b042e04e0d9dc7ef059fbd3afbd20075c25ad1f5
Will Ciprian Ciucu be the next Mayor of Bucharest?,Yes,No,0.012,50,1.48,1.5,1.27,1.73,15.99,0.09,200,13.95,10.94,9.31,6.62,5.67,5.27,7.18,0.445,0.457,0.47,3.5,0.001,TRUE,will-ciprian-ciucu-be-the-next-mayor-of-bucharest,38542318937261713370768373938243567843770050349388714685967041824824000126702,58465007764880967406704595497733164034979499062658878053853649531633348875657,0xffcdfe69121723210a5dfa24041fce6f4b99469fc434afc99bb3ff7a270d7fb3
Over $300M committed to the Monad public sale?,Yes,No,0.01,100,1.46,1.56,1,2.12,15.72,0.09,100,6.21,7.16,5.44,4.37,5.24,5.24,5.24,0.857,0.867,0.86,3.5,0.001,FALSE,over-300m-committed-to-the-monad-public-sale,17729640410767428830891271907670356081389789554536307716651081291770350315708,46284795062525460000254854402012885224456293488825283053923631523187256406325,0x97f7e9d839a3d94158c16ae7a1ccfd494a66ff980131ad0fc87bc98b7b1dc1c1
"Will ""Zootopia 2"" 5-Day Opening Box Office be greater than 157m?",Yes,No,0.02,10,1.39,1.42,1.15,1.68,14.74,0.09,20,0,2.29,1.66,2.69,3.1,5.82,5.82,0.83,0.85,0.84,4.5,0.01,TRUE,will-zootopia-2-5-day-opening-box-office-be-greater-than-157m,78744699890504739724285504281305136323597964217502381578723165848510806000071,42686702284069326051310038595081639206827394584755423590255802674471540689443,0x0f1ac7b687b78eac6ea6702a248856c730999a066bd867dc09770728168fa52c
Will Apple (AAPL) close above $250 end of November?,Yes,No,0.03,10,1.32,1.32,1.31,1.33,18.79,0.07,50,0,0,0,0,1.74,4.13,13.77,0.9,0.93,0.92,4.5,0.01,FALSE,aapl-above-250-on-november-28-2025,36187044267877279901951535118868114390784317149861695994191267768010133060124,109608127426921856023613067934654483614110203039354502566448602480559476947760,0xbb1fe5c8e76b053d726f701dc67f3c7a3d663cb32f8673c662aea97f82e80faf
Will US GDP growth in Q4 2025 be between 2.0% and 2.5%?,Yes,No,0.03,5,1.3,1.31,1.27,1.34,17.7,0.07,50,0,0,0,0,0,8.06,28.97,0.11,0.14,0.12,4.5,0.01,TRUE,will-us-gdp-growth-in-q4-2025-be-between-2pt0-and-2pt5,109904554056935272169730378752283666222957145423330594737040772648673696893983,107213129314994162369466519069442472096992908321148518360730893902512384640918,0xe50896651decb1916a4182ed827434daf9935faf8cf9cf03415f5b8a6cdf40a5
Will Analog Devices (ADI) beat quarterly earnings?,Yes,No,0.05,5,1.27,1.27,1.35,1.19,14.82,0.09,50,5.56,3.93,5.3,4.66,3.3,2.53,8.99,0.86,0.91,0.88,4.5,0.01,FALSE,adi-quarterly-earnings-nongaap-eps-11-25-2025-2pt23,96566257560078104864006841806173413983340860669286964112187473047769098673035,113854209014873603057135593588285425122583981115627258009929763091250701261069,0xd4077aa5398c80f55799aa06b50497bdbafaafd589286f73ab3b561ffe2b593d
Will Laura Virginia Fernández Delgado win the 2026 Costa Rican presidential election?,Yes,No,0.01,10,1.17,1.22,0.9,1.53,9.24,0.13,100,0,0,0,0,0,3.39,5.85,0.82,0.83,0.82,4.5,0.01,TRUE,will-laura-virginia-fernndez-delgado-win-the-2026-costa-rican-presidential-election,79088566337162437836671719273222979446951480948581045590914647087925119645023,100468578107797662479135781834982634847825161134930920186172922949816293128131,0x8e3fcca11554c30c3da27e4c23c50c4449e52651f3602beb2a7c51937f0f6906
Will Dell Technologies (DELL) beat quarterly earnings?,Yes,No,0.03,5,1.13,1.14,1.2,1.07,13.66,0.08,50,0,0,0,0,2.04,2.91,8.71,0.82,0.85,0.84,4.5,0.01,FALSE,dell-quarterly-earnings-nongaap-eps-11-25-2025-2pt47,6537670824212818828950327091043156098839721675684891695259302704943510987201,47796667762468997489650388209211650411798522850210167311855777614939118328738,0xdfd30c1954674ad0fbcafdf4d7dbb33296f59d17a0f76e2e256a8dd5227585a4
Will Mamdani make NYC buses free by March 31?,Yes,No,0.02,5,1.12,1.12,1.01,1.24,7.73,0.14,100,0,0,0,0,0,2.62,8.43,0.13,0.15,0.14,4.5,0.01,FALSE,will-mamdani-make-nyc-buses-free-by-march-31,22941008078112729642088551938182252813764145213495728065700592259006162193646,113694106922616906123955047088806144774816379365465166685345802233755141356864,0xaf94780c19caff2c1f480b92c58fcb3aae64a4dcab13653cadb230e839d67c0c
Will Artificial Intelligence be TIME's Person of the Year for 2025?,Yes,No,0.01,50,1.1,1.16,0.79,1.54,14.3,0.08,200,0,0,4.66,5.99,6.02,4.59,3.38,0.36,0.37,0.36,3.5,0.01,TRUE,will-artificial-intelligence-be-times-person-of-the-year-for-2025,97738289848450488297763027547275619371606557963137023790940218654157116963791,104393896768735558690178711391531744820971355331117822134769475143370127085506,0x850c1624dc9d8ca9850195df05293ff85273e6b92e89a9551cd0a57c2f72aceb
Trump declares another national emergency by December 31?,Yes,No,0.05,3,1.09,1.09,1.09,1.09,17.03,0.06,100,0,8.55,6.04,8.18,6.08,4.42,5.55,0.21,0.26,0.24,3.5,0.01,FALSE,trump-declares-another-national-emergency-by-december-31,28112035757673307013253665940402100922936737576565629412404456047389021577893,104759648951494333492184639862726021373430502108473533439816439699910220985409,0x476470074f6062901d48caee130241fdd3690f9ba88e95a81896febf158e08ba
Will Russia capture Rodynske by December 31?,Yes,No,0.03,10,1.09,1.35,0.56,2.14,15.8,0.07,100,6.07,7.57,5.97,4.97,4.8,5.73,6.23,0.73,0.76,0.74,4.5,0.01,FALSE,will-russia-capture-rodynske-by-december-31,24639853672802785870179119701829212461843302492332438093808467169720819032342,45486478979221881447910598487048561217104327671179917900480828157364753387353,0x2e24ca91d308d503fa3711b0ff3b4c40e0d971e72bbc8012448c0ece02328a69
Nothing Ever Happens: AI Edition,Yes,No,0.05,3,1.07,1.07,1.06,1.08,4.81,0.22,100,0,0,1.64,1.66,1.17,1.38,7.01,0.57,0.62,0.6,3.5,0.01,FALSE,nothing-ever-happens-ai-edition,43583398253641389327832749548466475963009941065752300969267016212230137906159,63148088117285348800006004128730257199929027319951578334840428136561954940877,0x0144c66a89b062a632ac4a5ee3b07ffdd3527c7a52d3e88c7a927297ea9b8bee
Will Semtech (SMTC) beat quarterly earnings?,Yes,No,0.03,5,1.07,1.09,1.28,0.9,10.6,0.1,50,5.12,3.11,2.23,1.78,1.38,1.4,7.82,0.87,0.9,0.88,4.5,0.01,FALSE,smtc-quarterly-earnings-nongaap-eps-11-24-2025-0pt45,3133446320034166927242347077001625882543248858732580788475808011005539260128,47761463519945928177083375954018493615998741431631255874607627705215699130156,0x71573c097b3b0be64ff26c940174f4795e1a5467315d8d3645ddb37f2d8830ce
Will Elon and DOGE cut 150-200k employees in 2025?,Yes,No,0.05,3,1.04,1.04,1.04,1.05,17.84,0.06,100,0,0,0,0,0,7.92,14.29,0.37,0.42,0.4,3.5,0.01,TRUE,will-elon-and-doge-cut-150-200k-employees-in-2025,17233973063443655264056149140261706801123070716050395256976577064874986381462,62507079221457239933603647251632711939307336110019142507263640917896167185301,0x17b9d9abd9064c5d892b522ddb245fdc853183b20dd5001aba4294ebd1c371b8
Will Magnus Carlsen win the 2025–2026 Speed Chess Championship?,Yes,No,0.02,5,1.03,1.04,1.02,1.05,11.38,0.09,100,7.38,7.76,5.54,5.54,5.17,3.6,5.16,0.62,0.64,0.63,4.5,0.01,TRUE,will-magnus-carlsen-win-the-20252026-speed-chess-championship,108456952547487474428146006845473386682734148345533886849039367054506212522131,86589040953515751040446070020016833653589010620914422243273992979079658260371,0xdbcf85f7f477eb6a29820205b439d06f4cd64988e5f09f86dcd62c9e97849701
Will Trump send the national guard to Boston by December 31?,Yes,No,0.03,4,1.03,1.04,0.97,1.1,5.39,0.19,50,0,0,0,0,0,3.16,1.87,0.06,0.09,0.08,4.5,0.01,FALSE,will-trump-send-the-national-guard-to-boston-by-december-31-978,94056874800801186764955630680940248787142678195213932671414643508439148317466,105828796378882192158062719487820682902344650988351811932773625083120583234245,0xcd3b2c5a0afb6d720588ab316c00b370e396b6a30b151e4020b6c0c0daae8f64
Metamask FDV above $1B one day after launch?,Yes,No,0.01,10,1.01,1.08,0.68,1.49,2.73,0.37,50,0,0,0,0,0,1.26,5.33,0.74,0.75,0.74,3.5,0.01,FALSE,metamask-fdv-above-1b-one-day-after-launch,32625782428938402255128136733519807459769332197090650257160146460579374232757,64494546053917393457112995513729031396777330451365750961867310732806049722473,0xb0dafd2efe994270384d6265f1c62dbfe10880bba15dfda68974898617b5cee8
Will the Portland Trail Blazers win more than 35.5 regular season games in 2025–26?,Yes,No,0.29,2,1,1,1,1,19.62,0.05,20,2.83,5.25,4.31,3.62,3.4,5.58,15.26,0.66,0.95,0.81,3.5,0.01,FALSE,will-the-portland-trail-blazers-win-more-than-35pt5-regular-season-games-in-202526,39748128342675163135906114208808206946693052021017974448999368487109230587260,88860019482198802455002529952385683745888609167095614783956811608174318863074,0x056d6183aaa7ca2e421ff219f5585293109375de478d216f84b57f78af5bd17b
